timestamp;minPing;avgPing;maxPing;meanDevPing;packetLoss;successfull
1607603499637;31.794;37.109;46.469;6.638;25.0;true
1607603513733;39.886;521.002;1259.276;453.372;0.0;true
1607603526892;31.015;135.916;424.621;166.982;0.0;true
1607603540005;31.649;34.536;42.598;4.66;0.0;true
1607603553130;96.681;411.102;650.582;232.255;25.0;true
1607603567516;30.983;54.947;122.878;39.238;0.0;true
1607603580623;31.238;41.254;58.685;12.371;25.0;true
1607603594733;32.497;112.101;237.165;85.835;0.0;true
1607603607841;38.167;68.195;119.254;33.256;0.0;true
1607603620952;38.645;41.422;46.531;3.147;0.0;true
1607603634085;30.776;33.286;35.197;1.937;0.0;true
1607603647210;47.481;504.081;812.67;329.453;25.0;true
1607603661985;31.55;46.436;82.867;21.251;0.0;true
