counter;timestampStart;timestampEnd;protocol;direction;filesize;senderTime;senderPackets;senderLostPackets;senderBytes;senderThroughput;receiverTime;receiverPackets;receiverLostPackets;receiverBytes;receiverThroughput;rawThroughput;senderPacketloss;revceiverPacketloss;receiverJitter;receiverOutOfOrder;senderRetransmits;speedtestTimeout;tcp_max_cwnd_0;tcp_max_rtt_0;tcp_min_rtt_0;tcp_mean_rtt_0;bits_per_second_0
42;1609242869540;1609242870648;UDP;upload;4194304;0.424851;2897;0;4194856;9873711.018686552;-1.0;-1;-1;-1;-1.0;7.89896881494924E7;0.0;-1.0;-1.0;-1;-1;false;;;;;
43;1609242882647;1609242884560;TCP;upload;104858;0.043079;-1;-1;110040;2.0435014740360733E7;0.208869;-1;-1;12108;463754.7936745041;-1.0;0.0;0.0;-1.0;-1;0;false;14480;37863;37863;37863;2.0435014740360733E7
44;1609242896752;1609242899168;UDP;upload;10485760;1.496073;7242;0;10486416;7009294.332562649;-1.0;-1;-1;-1;-1.0;5.60743546605012E7;0.0;-1.0;-1.0;-1;-1;false;;;;;
45;1609242909856;1609242914180;UDP;download;3145728;0.315827;208385;31922;301741480;-5.043533742085655E9;1.970725;208385;31922;-1;1.2248953253244364E9;1.2248953253244364E9;15.318760947285073;15.0;0.0802686561634979;0;-1;false;;;;;
46;1609242925832;1609242926743;TCP;upload;1048576;0.372121;-1;-1;1100820;2.366585062385622E7;0.451088;-1;-1;753858;1.3369595289610896E7;-1.0;0.0;0.0;-1.0;-1;0;false;385168;47340;38134;42961;2.366585062385622E7
47;1609242938998;1609242939805;UDP;upload;2097152;0.038911;1449;0;2098152;5.392182159286577E7;-1.0;-1;-1;-1;-1.0;4.313745727429262E8;0.0;-1.0;-1.0;-1;-1;false;;;;;
48;1609242952101;1609242953510;UDP;download;1048576;0.06803;13638;1965;19747824;1.9876529766279585E9;0.264913;13638;1965;-1;5.963565094955702E8;5.963565094955702E8;14.408271007479103;14.0;0.008825146081249177;0;-1;false;;;;;
49;1609242968444;1609242969452;UDP;download;524288;0.015419;8427;1291;12202296;5.36114041118101E9;0.208972;8427;1291;-1;4.6713611392913884E8;4.6713611392913884E8;15.319805387445117;15.0;0.03181507753875775;0;-1;false;;;;;
50;1609242981556;1609242983372;TCP;upload;6291456;1.307588;-1;-1;6605970;4.0416216728816725E7;1.373196;-1;-1;6144090;3.579439497347793E7;-1.0;0.0;0.0;-1.0;-1;3;false;2438432;263577;39533;126049;4.0416216728816725E7
51;1609242994657;1609242996473;UDP;upload;8388608;0.936909;5794;160;8389712;8707389.938617304;-1.0;-1;-1;-1;-1.0;7.163736926425084E7;2.761477390403866;-1.0;-1.0;-1;-1;false;;;;;
52;1609243007877;1609243017621;UDP;download;7340032;0.309291;1171319;1061931;1696069912;2.0642663603719392E8;8.672885;1171319;1061931;-1;1.564480480947228E9;1.564480480947228E9;90.6611264736592;90.0;0.34867292954849216;0;-1;false;;;;;
53;1609243027655;1609243029574;TCP;upload;5242880;1.184662;-1;-1;5504940;3.717475533105645E7;1.273029;-1;-1;4795264;3.01345153959572E7;-1.0;0.0;0.0;-1.0;-1;0;false;2296528;211381;38977;122395;3.717475533105645E7
54;1609243040830;1609243044853;TCP;download;8388608;3.44545;-1;-1;10221322;2.373291616479705E7;3.403019;-1;-1;8392608;1.972979404464095E7;-1.0;0.0;0.0;-1.0;-1;0;false;432952;69489;37123;54535;2.373291616479705E7
55;1609243054912;1609243057929;TCP;upload;8388608;2.185939;-1;-1;8682566;3.177605962471963E7;2.289973;-1;-1;7855290;2.7442384691871915E7;-1.0;0.0;0.0;-1.0;-1;3;false;2586128;343199;38434;224391;3.177605962471963E7
56;1609243068023;1609243069233;UDP;upload;3145728;0.302834;2173;0;3146504;1.0390193967652244E7;-1.0;-1;-1;-1;-1.0;8.312155174121796E7;0.0;-1.0;-1.0;-1;-1;false;;;;;
57;1609243081161;1609243083179;UDP;upload;7340032;1.230816;5070;0;7341360;5964628.344122924;-1.0;-1;-1;-1;-1.0;4.77170267529834E7;0.0;-1.0;-1.0;-1;-1;false;;;;;
58;1609243094273;1609243096995;TCP;upload;8388608;2.011144;-1;-1;8660846;3.445142068394904E7;2.124543;-1;-1;7774300;2.9274248626645822E7;-1.0;0.0;0.0;-1.0;-1;0;false;2570200;297645;43660;206227;3.445142068394904E7
59;1609243107385;1609243107992;UDP;upload;524288;0.011628;363;0;525624;4.5203302373581015E7;-1.0;-1;-1;-1;-1.0;3.616264189886481E8;0.0;-1.0;-1.0;-1;-1;false;;;;;
