Type;Available;Registered;CI;PCI;TAC;ASU;CQI;RSRP;RSRQ;RSSI;RSSNR;TA;Bandwith;NCI;MCC;MNC;ARFCN;CSI_RSRP;CSI_RSRQ;CSI_SINR;CSI_RSRP_dbm;SS_RSRP;SS_RSRQ;SS_SINR;LEVEL;Longitude;Latitude;Altitude;Time;Accuracy;timestamp;protocol;direction;filesize;senderTime;senderPackets;senderLostPackets;senderBytes;senderThroughput;receiverTime;receiverPackets;receiverLostPackets;receiverBytes;receiverThroughput;rawThroughput;senderPacketloss;revceiverPacketloss;receiverJitter;receiverOutOfOrder;senderRetransmits;tcp_max_cwnd_0;tcp_max_rtt_0;tcp_min_rtt_0;tcp_mean_rtt_0;bits_per_second_0;minPing;avgPing;maxPing;meanDevPing;packetLoss;successfull
NR;LTE, NR;LTE, NR;33612547;309;13499;57;6;-83;-8;not available;-2;1;not available;-1;262;01;-1;-1;-1;-1;-1;-1;-1;-1;-1;7.4616884;51.5101842;150.55893083675866;1607602179999;4.085;1607602213314;UDP;download;3145728;0.244372;26883;4435;38926584;1.3301320936932218E8;0.458485;26883;4435;-1;6.792210693915832E8;6.792210693915832E8;16.497414723059183;16.0;0.06010016973328296;0;-1;32.256;130.286;350.08;127.937;0.0;true
NR;LTE, NR;LTE, NR;0;274;0;25;0;-115;-12;-69;0;0;not available;-1;262;01;-1;-1;-1;-1;-1;-1;-1;-1;-1;7.4616825;51.510187;150.2968561823334;1607602192999;4.993;1607602226455;TCP;download;6291456;2.182015;-1;-1;7419070;2.7200802927569244E7;2.141695;-1;-1;6291560;2.3501236170416422E7;-1.0;0.0;0.0;-1.0;-1;6;264984;35875;31816;33655;2.7200802927569244E7;30.813;62.954;126.577;38.552;0.0;true
NR;LTE, NR;LTE, NR;0;228;0;27;0;-113;-11;-69;0;0;not available;-1;262;01;-1;-1;-1;-1;-1;-1;-1;-1;-1;7.4621483;51.509994;149.98919552622192;1607602206999;5.085;1607602239566;TCP;download;6291456;2.477165;-1;-1;7559526;2.441347588876801E7;2.443961;-1;-1;6311433;2.065968483130459E7;-1.0;0.0;0.0;-1.0;-1;0;330144;37361;33556;35233;2.441347588876801E7;31.864;56.725;124.981;39.463;0.0;true
NR;LTE, NR;LTE, NR;0;228;0;42;0;-98;-3;-53;0;0;not available;-1;262;01;-1;-1;-1;-1;-1;-1;-1;-1;-1;7.463726;51.5098579;150.72181267083243;1607602219999;3.983;1607602252707;UDP;upload;7340032;0.924082;5070;0;7341360;7944489.774716963;-1.0;-1;-1;-1;-1.0;6.35559181977357E7;0.0;-1.0;-1.0;-1;-1;32.214;93.307;253.567;92.954;0.0;true
NR;LTE, NR;LTE, NR;0;228;0;42;0;-98;-3;-53;0;0;not available;-1;262;01;-1;-1;-1;-1;-1;-1;-1;-1;-1;7.4651481;51.5098328;151.21562620357798;1607602232999;3.96;1607602265813;UDP;download;4194304;0.150064;11369;1570;16462312;9.455267086043288E7;0.269334;11369;1570;-1;4.889783540139752E8;4.889783540139752E8;13.809481924531621;13.0;0.014484019825679567;0;-1;29.777;37.436;41.356;4.519;0.0;true
NR;LTE, NR;LTE, NR;0;228;0;42;0;-98;-3;-53;0;0;not available;-1;262;01;-1;-1;-1;-1;-1;-1;-1;-1;-1;7.467135;51.5097515;151.12163728951472;1607602245999;3.92;1607602279017;UDP;download;9437184;0.287203;33976;2331;49197248;1.5954554792254958E8;0.525894;33976;2331;-1;7.483979357056745E8;7.483979357056745E8;6.8607252178008;6.0;0.010821048286043829;0;-1;42.241;161.409;442.163;164.581;0.0;true
LTE;LTE;LTE;0;71;0;54;0;-86;-10;not available;0;0;not available;-1;262;01;-1;-1;-1;-1;-1;-1;-1;-1;-1;7.4678585;51.5096973;151.0550785674079;1607602292942;89.16;1607602293214;UDP;upload;10485760;2.923052;7242;0;10486416;3587488.6933246483;-1.0;-1;-1;-1;-1.0;2.8699909546597186E7;0.0;-1.0;-1.0;-1;-1;54.161;611.667;815.0;322.151;0.0;true
LTE;LTE;LTE;0;71;0;54;0;-86;-9;not available;0;0;not available;-1;262;01;-1;-1;-1;-1;-1;-1;-1;-1;-1;7.4678213;51.5097;150.6131957917014;1607602272999;6.0;1607602306371;TCP;download;104858;0.287797;-1;-1;167680;4661063.179949756;0.240558;-1;-1;105304;3501991.2037845342;-1.0;0.0;0.0;-1.0;-1;0;18824;39858;39858;39858;4661063.179949756;37.669;57.599;74.719;15.128;0.0;true
LTE;LTE;LTE;0;71;0;53;0;-87;-8;not available;0;0;not available;-1;262;01;-1;-1;-1;-1;-1;-1;-1;-1;-1;7.4678213;51.5097;150.16585413541014;1607602285999;4.96;1607602319505;UDP;upload;6291456;1.227311;4345;0;6291560;5126296.431792757;-1.0;-1;-1;-1;-1.0;4.101037145434205E7;0.0;-1.0;-1.0;-1;-1;41.167;196.421;633.413;252.43;0.0;true
LTE;LTE;LTE;0;71;0;53;0;-87;-10;not available;0;0;not available;-1;262;01;-1;-1;-1;-1;-1;-1;-1;-1;-1;7.4678213;51.5097;149.82233330999833;1607602299999;5.165;1607602332617;TCP;upload;524288;0.045368;-1;-1;550410;9.70569564450714E7;0.122183;-1;-1;0;0.0;-1.0;0.0;0.0;-1.0;-1;0;14480;40262;40262;40262;9.70569564450714E7;34.635;38.455;43.465;3.187;0.0;true
