counter;timestampStart;timestampEnd;protocol;direction;filesize;senderTime;senderPackets;senderLostPackets;senderBytes;senderThroughput;receiverTime;receiverPackets;receiverLostPackets;receiverBytes;receiverThroughput;rawThroughput;senderPacketloss;revceiverPacketloss;receiverJitter;receiverOutOfOrder;senderRetransmits;speedtestTimeout;tcp_max_cwnd_0;tcp_max_rtt_0;tcp_min_rtt_0;tcp_mean_rtt_0;bits_per_second_0
36;1608304737569;1608304742999;TCP;upload;8388608;4.374516;-1;-1;8692702;1.589698517504565E7;4.491366;-1;-1;7801736;1.3896415478052778E7;-1.0;0.0;0.0;-1.0;-1;1;false;2641152;731566;37838;500768;1.589698517504565E7
37;1608304753105;1608304759639;UDP;download;3145728;1.661827;585844;3027;848302112;-1.0796545562807646E9;4.555755;585844;3027;-1;1.4896360528606124E9;1.4896360528606124E9;0.5166904500174108;0.0;0.6965232435008508;0;-1;false;;;;;
0;1608305808192;1608305808900;UDP;upload;104858;0.002239;73;0;105704;4.721036176864672E7;-1.0;-1;-1;-1;-1.0;3.7768289414917374E8;0.0;-1.0;-1.0;-1;-1;false;;;;;
1;1608305821287;1608305822094;TCP;upload;1048576;0.269835;-1;-1;1100820;3.263683362054589E7;0.327739;-1;-1;795850;1.9426433839121982E7;-1.0;0.0;0.0;-1.0;-1;0;false;422816;55877;39648;49782;3.263683362054589E7
2;1608305834391;1608305836609;TCP;download;3145728;1.80646;-1;-1;3874152;1.7156879200203713E7;1.772131;-1;-1;3159536;1.4263216432645217E7;-1.0;0.0;0.0;-1.0;-1;0;false;172312;46346;31887;39116;1.7156879200203713E7
3;1608305847513;1608305848019;UDP;upload;104858;0.002417;73;0;105704;4.373355399255276E7;-1.0;-1;-1;-1;-1.0;3.49868431940422E8;0.0;-1.0;-1.0;-1;-1;false;;;;;
4;1608305860644;1608305870649;UDP;download;1048576;17.53524;2474978;2455399;-711199152;-629165.9078330488;17.92434;2474978;2455399;-1;1.5995091117441423E9;1.5995091117441423E9;99.20892226112717;99.0;0.249675995766413;112;-1;true;;;;;
5;1608305890069;1608305890774;UDP;upload;524288;0.018569;363;0;525624;2.830653239269751E7;-1.0;-1;-1;-1;-1.0;2.2645225914158008E8;0.0;-1.0;-1.0;-1;-1;false;;;;;
6;1608305903200;1608305905510;UDP;upload;6291456;1.316133;4345;0;6291560;4780337.549472583;-1.0;-1;-1;-1;-1.0;3.824270039578067E7;0.0;-1.0;-1.0;-1;-1;false;;;;;
7;1608305916301;1608305918219;TCP;download;1048576;1.418079;-1;-1;1302990;7350732.92813729;1.380749;-1;-1;1050148;6084512.101765056;-1.0;0.0;0.0;-1.0;-1;0;false;66608;56820;48883;52851;7350732.92813729
8;1608305929406;1608305931020;TCP;download;524288;1.011434;-1;-1;655250;5182740.544612897;0.968784;-1;-1;526247;4345629.159854002;-1.0;0.0;0.0;-1.0;-1;0;false;40544;45961;43244;44602;5182740.544612897
