counter;timestampStart;timestampEnd;protocol;direction;filesize;senderTime;senderPackets;senderLostPackets;senderBytes;senderThroughput;receiverTime;receiverPackets;receiverLostPackets;receiverBytes;receiverThroughput;rawThroughput;senderPacketloss;revceiverPacketloss;receiverJitter;receiverOutOfOrder;senderRetransmits;speedtestTimeout;tcp_max_cwnd_0;tcp_max_rtt_0;tcp_min_rtt_0;tcp_mean_rtt_0;bits_per_second_0
42;1609252490166;1609252493483;TCP;download;7340032;2.804957;-1;-1;9048256;2.5806473325616043E7;2.674585;-1;-1;7351496;2.198919383754863E7;-1.0;0.0;0.0;-1.0;-1;0;false;382272;42394;37697;39636;2.5806473325616043E7
43;1609252503541;1609252506169;UDP;download;7340032;0.470299;68598;2095;99329904;1.6380446311814399E9;0.710252;68598;2095;-1;1.1188130860595958E9;1.1188130860595958E9;3.054024898685093;3.0;0.03778333330012678;15;-1;false;;;;;
44;1609252516680;1609252526687;UDP;download;2097152;0.020971;67777217;67766667;-642837592;-6292292.48730078;485.906727;67777217;67766667;-1;1.6158065696587896E9;1.6158065696587896E9;99.98443429744246;99.0;0.03080134781141076;0;-1;true;;;;;
45;1609253013649;1609253014256;UDP;upload;524288;0.012908;363;0;525624;4.072079330647661E7;-1.0;-1;-1;-1;-1.0;3.2576634645181286E8;0.0;-1.0;-1.0;-1;-1;false;;;;;
46;1609253026757;1609253027264;UDP;upload;104858;0.002976;73;0;105704;3.5518817204301074E7;-1.0;-1;-1;-1;-1.0;2.841505376344086E8;0.0;-1.0;-1.0;-1;-1;false;;;;;
47;1609253039891;1609253041606;TCP;upload;7340032;0.946624;-1;-1;7528376;6.3622946386316E7;1.104737;-1;-1;6796752;4.921896885865142E7;-1.0;0.0;0.0;-1.0;-1;0;false;4160104;236335;44921;144225;6.3622946386316E7
48;1609253053010;1609253054119;UDP;download;6291456;0.171649;17161;2432;24849128;9.940094961229018E8;0.363848;17161;2432;-1;5.46362832831292E8;5.46362832831292E8;14.171668317697105;14.0;0.010094156415943944;0;-1;false;;;;;
49;1609253066137;1609253069969;UDP;upload;4194304;1.730507;2897;0;4194856;2424061.850082086;-1.0;-1;-1;-1;-1.0;1.9392494800656687E7;0.0;-1.0;-1.0;-1;-1;false;;;;;
50;1609253080033;1609253080840;UDP;download;2097152;0.040776;14441;214;20910568;4.0417296448891506E9;0.281576;14441;214;-1;5.94100860868824E8;5.94100860868824E8;1.481891835745447;1.0;0.022272795907304608;0;-1;false;;;;;
51;1609253093140;1609253093948;UDP;download;104858;4.18E-4;7941;0;11498568;2.200682870813397E11;0.121392;7941;0;-1;7.577809410834322E8;7.577809410834322E8;0.0;0.0;0.009590735871076193;0;-1;false;;;;;
52;1609253106233;1609253107752;TCP;upload;5242880;0.728472;-1;-1;5498992;6.038932999483851E7;0.907323;-1;-1;4611108;4.065681570951028E7;-1.0;0.0;0.0;-1.0;-1;0;false;3520088;263851;37900;140969;6.038932999483851E7
53;1609253119349;1609253122465;UDP;download;10485760;0.501593;68389;3319;99027272;1.5027539858012373E9;0.858851;68389;3319;-1;9.22416316683569E8;9.22416316683569E8;4.853119653745486;4.0;0.00597385569165614;0;-1;false;;;;;
54;1609253133455;1609253137286;TCP;upload;6291456;2.997834;-1;-1;6605970;1.7628647883772083E7;3.148562;-1;-1;5763266;1.4643550928963762E7;-1.0;0.0;0.0;-1.0;-1;2;false;2436984;614209;42535;420226;1.7628647883772083E7
55;1609253147343;1609253149857;TCP;download;2097152;2.004782;-1;-1;2570756;1.0258495936216505E7;1.94956;-1;-1;2098152;8609745.78879337;-1.0;0.0;0.0;-1.0;-1;0;false;118736;83714;52802;63412;1.0258495936216505E7
56;1609253160524;1609253161330;TCP;upload;1048576;0.271745;-1;-1;1100820;3.2407440799278732E7;0.346832;-1;-1;775578;1.78894219679845E7;-1.0;0.0;0.0;-1.0;-1;0;false;408336;55096;49087;52876;3.2407440799278732E7
57;1609253173631;1609253177163;TCP;download;5242880;3.047183;-1;-1;6364636;1.6709560272553371E7;3.011722;-1;-1;5247552;1.393900765077255E7;-1.0;0.0;0.0;-1.0;-1;0;false;276568;45738;37104;40667;1.6709560272553371E7
58;1609253187275;1609253188888;TCP;upload;6291456;1.059837;-1;-1;6605970;4.986404513146833E7;1.134194;-1;-1;5993498;4.227494061862433E7;-1.0;0.0;0.0;-1.0;-1;3;false;2374720;160673;37762;112944;4.986404513146833E7
59;1609253200394;1609253200909;UDP;upload;104858;0.003068;73;0;105704;3.4453715775749676E7;-1.0;-1;-1;-1;-1.0;2.756297262059974E8;0.0;-1.0;-1.0;-1;-1;false;;;;;
60;1609253213515;1609253215431;UDP;download;7340032;0.316166;41871;2803;60629208;1.4314117014479735E9;0.669317;41871;2803;-1;7.246695721160526E8;7.246695721160526E8;6.694370805569487;6.0;0.052590845306948034;169;-1;false;;;;;
61;1609253226621;1609253227329;TCP;download;104858;0.277969;-1;-1;178160;5127478.243976846;0.225219;-1;-1;105304;3740501.46746056;-1.0;0.0;0.0;-1.0;-1;0;false;18824;33138;33138;33138;5127478.243976846
62;1609253239732;1609253242649;UDP;download;524288;0.059085;29801;2298;43151848;5.392142709655581E9;0.617542;29801;2298;-1;5.590142597588503E8;5.590142597588503E8;7.71115063252911;7.0;0.17158380098055992;0;-1;false;;;;;
63;1609253252855;1609253257279;UDP;download;10485760;0.961576;158339;2223;229274872;1.8807122307545114E9;1.591011;158339;2223;-1;1.1528512222731333E9;1.1528512222731333E9;1.4039497533772476;1.0;0.47584860052199135;4;-1;false;;;;;
64;1609253267349;1609253267956;UDP;upload;524288;0.01278;363;0;525624;4.112863849765258E7;-1.0;-1;-1;-1;-1.0;3.2902910798122066E8;0.0;-1.0;-1.0;-1;-1;false;;;;;
65;1609253280458;1609253281065;UDP;upload;104858;0.005005;73;0;105704;2.1119680319680322E7;-1.0;-1;-1;-1;-1.0;1.6895744255744258E8;0.0;-1.0;-1.0;-1;-1;false;;;;;
66;1609253293601;1609253294106;TCP;upload;524288;0.002877;-1;-1;550410;1.53051094890511E9;0.056404;-1;-1;8413;1193248.7057655484;-1.0;0.0;0.0;-1.0;-1;0;false;14480;30341;30341;30341;1.53051094890511E9
67;1609253306785;1609253310404;TCP;download;9437184;2.942817;-1;-1;10763046;2.9259164942978106E7;2.905656;-1;-1;9439512;2.5989344919013124E7;-1.0;0.0;0.0;-1.0;-1;3;false;231680;38334;35792;37366;2.9259164942978106E7
68;1609253320474;1609253322086;UDP;download;2097152;0.126169;15431;1699;22344088;1.2607810793459566E9;0.378951;15431;1699;-1;4.7170400394774E8;4.7170400394774E8;11.010303933640076;11.0;0.04475396991817305;0;-1;false;;;;;
69;1609253333585;1609253334294;UDP;upload;524288;0.010352;363;0;525624;5.077511591962906E7;-1.0;-1;-1;-1;-1.0;4.062009273570325E8;0.0;-1.0;-1.0;-1;-1;false;;;;;
70;1609253346697;1609253349218;UDP;download;10485760;0.548907;42948;2471;62188704;8.542167762480711E8;0.839437;42948;2471;-1;5.92670601843855E8;5.92670601843855E8;5.753469311725808;5.0;0.011231529188727803;0;-1;false;;;;;
71;1609253360787;1609253362398;UDP;upload;7340032;0.965248;5070;0;7341360;7605672.324625381;-1.0;-1;-1;-1;-1.0;6.084537859700305E7;0.0;-1.0;-1.0;-1;-1;false;;;;;
72;1609253373900;1609253374607;TCP;download;104858;0.266837;-1;-1;172920;5184288.535697823;0.22767;-1;-1;104904;3686177.361971274;-1.0;0.0;0.0;-1.0;-1;0;false;18824;33790;33790;33790;5184288.535697823
73;1609253387034;1609253391158;TCP;download;6291456;3.44428;-1;-1;7671022;1.7817417863820594E7;3.394388;-1;-1;6291811;1.482873731582836E7;-1.0;0.0;0.0;-1.0;-1;0;false;327248;73041;37378;57838;1.7817417863820594E7
74;1609253401239;1609253402547;TCP;download;524288;0.825032;-1;-1;681460;6607840.665574184;0.77971;-1;-1;525074;5387377.35824858;-1.0;0.0;0.0;-1.0;-1;0;false;40544;38030;38030;38030;6607840.665574184
