counter;timestampStart;timestampEnd;protocol;direction;filesize;senderTime;senderPackets;senderLostPackets;senderBytes;senderThroughput;receiverTime;receiverPackets;receiverLostPackets;receiverBytes;receiverThroughput;rawThroughput;senderPacketloss;revceiverPacketloss;receiverJitter;receiverOutOfOrder;senderRetransmits;speedtestTimeout;tcp_max_cwnd_0;tcp_max_rtt_0;tcp_min_rtt_0;tcp_mean_rtt_0;bits_per_second_0
30;1608301522067;1608301522973;UDP;download;5242880;0.094387;14675;1090;21249400;1.6672702808649497E9;0.224291;14675;1090;-1;7.579225202972924E8;7.579225202972924E8;7.427597955706985;7.0;0.01344013260563316;0;-1;false;;;;;
31;1608301535149;1608301535856;UDP;download;1048576;0.018251;11753;2609;17018344;5.803742041531971E9;0.230714;11753;2609;-1;5.901104917776988E8;5.901104917776988E8;22.198587594656683;22.0;0.012193542962875769;0;-1;false;;;;;
32;1608301548248;1608301549859;TCP;upload;8388608;0.9688;-1;-1;8602436;7.103580511973576E7;1.124376;-1;-1;7699962;5.47856731200239E7;-1.0;0.0;0.0;-1.0;-1;0;false;4352688;300651;31533;162040;7.103580511973576E7
33;1608301561365;1608301562072;UDP;download;10485760;0.135747;16331;1912;23647288;1.2304485255659425E9;0.251073;16331;1912;-1;7.534792829177172E8;7.534792829177172E8;11.707794991121181;11.0;0.01346552660328606;0;-1;false;;;;;
34;1608301574533;1608301576244;UDP;download;9437184;0.342992;37399;2730;54153752;1.170889396837244E9;0.55131;37399;2730;-1;7.858192595817236E8;7.858192595817236E8;7.299660418727774;7.0;0.018731976610324778;0;-1;false;;;;;
35;1608301587669;1608301589686;TCP;download;3145728;1.516742;-1;-1;3875600;2.0441709928254113E7;1.475071;-1;-1;3147952;1.7072816155968085E7;-1.0;0.0;0.0;-1.0;-1;0;false;169416;29219;27027;28123;2.0441709928254113E7
36;1608301600812;1608301601517;UDP;upload;524288;0.013071;363;0;525624;4.021299058985541E7;-1.0;-1;-1;-1;-1.0;3.217039247188433E8;0.0;-1.0;-1.0;-1;-1;false;;;;;
37;1608301613916;1608301617633;UDP;upload;10485760;2.458683;7242;0;10486416;4265054.09603434;-1.0;-1;-1;-1;-1.0;3.412043276827472E7;0.0;-1.0;-1.0;-1;-1;false;;;;;
38;1608301627695;1608301628802;UDP;download;1048576;0.019998;17222;2071;24937456;8.776336833683369E9;0.261248;17222;2071;-1;7.63640862322391E8;7.63640862322391E8;12.025316455696203;12.0;0.018393839166464542;0;-1;false;;;;;
39;1608301640804;1608301643820;UDP;upload;8388608;1.887336;5794;0;8389712;4445266.767549604;-1.0;-1;-1;-1;-1.0;3.556213414039683E7;0.0;-1.0;-1.0;-1;-1;false;;;;;
40;1608301653908;1608301654516;TCP;upload;524288;0.131101;-1;-1;550410;3.3586929161486186E7;0.192082;-1;-1;166245;6923917.910059245;-1.0;0.0;0.0;-1.0;-1;0;false;95568;40919;40415;40667;3.3586929161486186E7
41;1608301667005;1608301668517;TCP;download;1048576;0.991618;-1;-1;1303282;1.0514387596836684E7;0.888462;-1;-1;1049250;9447787.299850754;-1.0;0.0;0.0;-1.0;-1;0;false;66608;26769;26769;26769;1.0514387596836684E7
42;1608301680097;1608301682516;TCP;download;6291456;1.942687;-1;-1;7581954;3.122254485668561E7;1.909279;-1;-1;6297352;2.638630393986421E7;-1.0;0.0;0.0;-1.0;-1;0;false;328696;30186;28785;29485;3.122254485668561E7
43;1608301693228;1608301700765;UDP;download;4194304;0.414917;64091;2316;92803768;1.7246861420476868E9;0.939594;64091;2316;-1;7.901605842523472E8;7.901605842523472E8;3.6136118955859637;3.0;0.04262063588199038;0;-1;false;;;;;
44;1608301710817;1608301711925;TCP;download;524288;0.775876;-1;-1;681460;7026483.613360898;0.731174;-1;-1;525074;5744996.403044966;-1.0;0.0;0.0;-1.0;-1;0;false;40544;30700;30700;30700;7026483.613360898
45;1608301723920;1608301725540;UDP;download;104858;2.48E-4;15160;0;21951680;7.081187096774193E11;0.343938;15160;0;-1;5.1059621210799617E8;5.1059621210799617E8;0.0;0.0;0.01911644733709584;0;-1;false;;;;;
46;1608301737005;1608301741434;TCP;download;8388608;2.748661;-1;-1;10161954;2.957644904191532E7;2.719094;-1;-1;8404192;2.4726447853586525E7;-1.0;0.0;0.0;-1.0;-1;0;false;435848;64690;36377;47243;2.9576449041915316E7
47;1608301751495;1608301752200;TCP;upload;1048576;0.268858;-1;-1;1100820;3.2755432235603925E7;0.335747;-1;-1;801642;1.9101096956934832E7;-1.0;0.0;0.0;-1.0;-1;0;false;421368;59759;44583;52478;3.2755432235603925E7
